source,target,weight
crow,jim,0.8580831024729044
german,japan,0.6991099335491461
corp,air,0.6111986067175911
west,east,0.5574118101709014
win,war,0.5055605360439209
divide,fall,0.49162220744839236
force,arm,0.4806474609857348
north,south,0.4779323862663222
white,negro,0.4563640463381727
ride,bus,0.4158048018465402
defense,plant,0.3825063040422676
white,color,0.3784758610822135
company,command,0.36103774446261844
service,branch,0.3522901012359003
white,black-man,0.34936342038776386
divide,stand,0.3438979764486451
child,wife,0.33998657245946623
white,people,0.3395563955238588
south,black-man,0.3307957818823043
uniform,wear,0.33012749263003166
low,morale,0.3266237655747436
south,white,0.3191601174382425
equal,right,0.318499301960913
negro,fight,0.3131097048485955
commissioned,office,0.30721702279259694
life,civilian,0.3042678224925784
creed,race,0.3026249044655791
wife,marry,0.30133319453241425
south,negro,0.29712674664908223
war,negro,0.2944534171536157
war,fight,0.28927620840738294
white,fight,0.2882178913747736
lord,pray,0.28512445055075414
furlough,month,0.2841734243915231
military-police,beat,0.2831001697981478
camp,town,0.28171921312297393
sick,doctor,0.2809207690444175
defense,age,0.27701623349889587
speech,freedom,0.27495662735884713
fall,stand,0.2687647216544266
negro,white-man,0.26827486557972824
worth,damn,0.26558682357929864
field,battle,0.2637959754108493
express,opinion,0.2589354371308549
discrimination,democracy,0.2578049606862628
fight,country,0.2575389226143523
bus,town,0.2567977445548079
equal,creat,0.25639583145069056
negro,race,0.2552904053941895
military,police,0.2528943318164784
bus,sit,0.2524805432370742
sleep,bed,0.2516309291697604
dog,treat,0.2506032935994942
negro,chance,0.2469769103770819
ride,seat,0.24511133236815077
war,hope,0.24440369021439995
defense,job,0.2421809096217629
color,creed,0.24199219449455425
bus,seat,0.2416226871054469
transport,poor,0.24115856387013135
color,race,0.2338919285378442
black-man,treat,0.23310051401076334
serviceclub,post-exchange,0.23236151099783564
white,race,0.23166132363789058
doctor,medic,0.23063233833897803
sleep,eat,0.23045285423311063
north,camp,0.2280094016787119
fight,freedom,0.22672360822118606
life,army,0.22620971359063038
bus,service,0.2252710565952331
black-man,white-man,0.22526925544978488
white,office,0.22429014295283844
negro,right,0.22044205993745
country,citizen,0.21932722942618912
wife,mother,0.21562539754881044
teach,rate,0.21553971535786917
bus,transport,0.21524203806178213
democracy,practice,0.21467330950027483
south,people,0.21379805924923043
negro,country,0.2129474364456202
negro,equal,0.2114758608995751
war,white,0.2113474879812402
camp,soldier,0.21130730689259705
right,race,0.21123281913576997
black-man,soldier,0.2111471072494359
pray,god,0.21070080120558018
south,treat,0.21028203857931577
negro,office,0.21025214447627724
color,people,0.21018931058944798
white,treat,0.20916476480727544
defense,discharge,0.20797741194902583
town,police,0.20707735741332026
war,country,0.2064247995756244
volunteer,infantry,0.2063808932260529
fight,white-man,0.2060851980982161
marry,family,0.20591480358846223
wife,home,0.20495486433023902
hope,day,0.20394764280029623
complete,victory,0.20131696860229054
sit,theater,0.20076647375592524
plant,age,0.2005760323241582
negro,people,0.19925761340885614
qualify,opportunity,0.19798194689288956
pass,week,0.19743928980294972
air,mechanic,0.19738071879820315
people,fight,0.19717513402359774
qualify,capable,0.19629834565781878
color,office,0.19618949474556716
money,pay,0.19563967023277098
treat,human,0.19518540887597863
cloth,food,0.19480831244082586
trust,true,0.19437277464783304
black-man,fight,0.19391472754994066
east,north,0.19383268746107252
sick,hospital,0.1930933175577199
branch,qualify,0.19271440236487866
war,people,0.19224407849078445
furlough,home,0.19202246770496081
speech,discrimination,0.19189046622773404
police,kill,0.19074199953273763
speech,free,0.1898622992199852
job,army,0.1891362186602253
medic,care,0.18884151212747377
die,live,0.1886974804891965
office,rank,0.1882131717324156
bus,poor,0.18819521556244173
west,north,0.1877409685105462
air,fly,0.18694771751549477
fight,life,0.18693123509381787
country,live,0.18527027819959185
mechanic,school,0.18522727387867888
age,discharge,0.185207960844852
war,race,0.1851856038474663
people,stop,0.18511813640134656
south,camp,0.18480531344706855
family,home,0.1842444095479209
war,job,0.18367967501455076
captain,lieutenant,0.18339267110588803
color,black-man,0.18328192231854684
fight,die,0.18309428175918002
south,color,0.18235813755134533
command,office,0.18233024422221714
divide,hous,0.1821764803382636
blood,nation,0.18217436149207375
chance,fair,0.18152283919004575
seat,theater,0.18090678231221324
town,pass,0.1808795387267483
black-man,camp,0.18030463800805327
furlough,pass,0.18001919807584305
citizen,unit,0.1799411550208298
race,live,0.17988646895468183
promotion,ability,0.17986548643632475
life,country,0.17976920456081658
divide,forget,0.1782635841990882
land,forget,0.1782635841990882
god,love,0.1777892492425092
combat,train,0.17775213470467424
white,white-man,0.1776025554973914
washington,start,0.17758916412563064
white,bus,0.17727116453776734
white,country,0.17696422663076516
country,unit,0.1768432108154641
bus,wait,0.17645729193195417
fight,race,0.17625727592274257
rate,mechanic,0.17611280601004944
uniform,proud,0.1759267867085188
south,soldier,0.17588774233056884
negro,treat,0.1758415475655583
north,station,0.17569049031158782
negro,black-man,0.17517346621032745
treat,soldier,0.17513982859629237
south,fight,0.17493369758695027
god,blood,0.17437856956890113
office,division,0.17437614755644532
front,oversea,0.17272705597907337
front,sign,0.17272705597907337
police,paper,0.17270125193204874
chance,prove,0.1726794002758755
rank,ability,0.17259773876628604
bus,black-man,0.1724370715287379
win,fight,0.17238948107244928
camp,time,0.17231429955654834
fair,deal,0.17188579810552065
sick,medic,0.1713425316779908
post-exchange,separate,0.17024480523487107
white,soldier,0.17023039510357912
sit,seat,0.17015031261604902
right,fight,0.17003909050794408
office,noncom,0.16993134624727876
war,chance,0.16963927638492307
south,office,0.16806675429866488
creed,land,0.1677847060891964
blood,past,0.1677847060891964
south,lynch,0.16752848493897687
bus,camp,0.1674637116497117
rank,allow,0.16707675964249122
soldier,time,0.16699491292800378
white,separate,0.1664049506921813
race,country,0.16596688837739926
country,love,0.1657124403491509
freedom,country,0.16511785367431903
fight,democracy,0.16486598639805697
life,live,0.16457910683296215
love,hate,0.16442255557641103
practice,troop,0.1644086290883599
month,home,0.16440753688619206
country,feel,0.16429641990976934
war,unit,0.16412666808671963
citizen,share,0.16348357293048804
wife,worry,0.16338888297316062
corp,fly,0.16335584825899827
live,happy,0.1631161924146611
north,send,0.16292418581134005
branch,enlist,0.16285823696334278
country,die,0.16226334924470112
captain,promotion,0.16222090495949418
day,sundai,0.16206376046273993
equal,democracy,0.16199984373567025
god,stop,0.16197864478850701
negro,unit,0.16161298213622766
war,right,0.1616079236052628
equal,social,0.16135286121181028
pray,love,0.16116022534245827
camp,transport,0.16088186450155675
paper,return,0.16072842438638163
combat,duty,0.1606908960248499
white,equal,0.16063857870777348
return,write,0.16044682858321463
fight,treat,0.15995152654523434
north,white,0.15980992577917685
lynch,law,0.15962542198654545
win,country,0.1595883272789724
spend,take,0.15925451432283783
german,enemies,0.15883315337917234
office,troop,0.1587548458565759
democracy,receive,0.1583307014977267
return,expect,0.1581087575689041
treat,fair,0.15801235877181646
capable,leader,0.15762911643911395
promotion,choose,0.15762911643911395
oversea,past,0.15762911643911395
war,white-man,0.1570923164064722
citizen,law,0.15693762157220295
citizen,receive,0.15693762157220295
race,future,0.1568674207744648
black-man,office,0.15674287417410174
commissioned,noncom,0.15642009957136438
lieutenant,division,0.15625478249528593
soldier,train,0.15541295641352412
transport,practice,0.15498349094638708
south,call,0.15497345969844845
damn,god,0.15460984313537002
office,promotion,0.15430764033864758
hope,live,0.15406731233211216
combat,outfit,0.15349910817304016
pass,mile,0.15307834787207272
soldier,home,0.15267429807971092
field,enlist,0.1524753173697179
true,real,0.1523603627015021
uniform,democracy,0.1522690891683025
right,citizen,0.15225147324512084
war,army,0.1522288222490844
negro,live,0.15222815756507627
treat,bad,0.15202953042542888
soldier,feel,0.15177036123953921
air,force,0.15173021612487758
negro,hell,0.15143118035584938
free,land,0.15139077953202676
ability,prove,0.1512872772590958
white-man,black-woman,0.1512800099260021
people,race,0.15113453472310942
mother,home,0.15111044458784273
doctor,care,0.15109729593290017
war,life,0.1509702984884608
defense,farm,0.1509682649890631
office,ability,0.1509024536690095
war,black-man,0.15090108040874858
home,close,0.15086476474231816
pray,hope,0.15078160361537254
plant,marry,0.15076357773149932
battle,carry,0.15076357773149932
win,unit,0.15067981432557398
north,soldier,0.15052675342834512
country,serve,0.15028016753422935
school,educate,0.15016931504508987
north,black-man,0.15015524592781418
office,army,0.15009113467910748
army,soldier,0.15008070860318368
equal,race,0.15006852702717843
