id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
crow,crow,1,5,9,3,1.1018892682511903,0.020224806250658624,0.003054740232317747,0.020224806250658613,0.020224806250658613,3
german,german,1,8,6,6,1.3192140238709267,0.043056091371011636,0.00362437632168028,0.04305609137101167,0.04305609137101167,4
corp,corp,1,4,4,9,1.5564028870563842,0.024903900040530568,0.004695688202172803,0.024903900040530662,0.024903900040530662,5
west,west,1,1,1,5,1.1385842887813575,0.06799596602401509,0.003211727864446615,0.06799596602401509,0.06799596602401509,4
win,win,1,2,3,11,1.8654848652162332,0.29230387310849726,0.004416409340763186,0.29230387310849704,0.29230387310849704,8
divide,divide,1,9,2,6,1.420230993178787,0.016526508991040474,0.004053127092490396,0.016526508991040474,0.016526508991040474,4
force,force,1,4,4,12,1.8091175472551555,0.1320166674908366,0.004544780411387297,0.13201666749083654,0.13201666749083654,7
north,north,1,1,1,20,3.223226525110763,0.3675511271799564,0.0073405186188904275,0.367551127179956,0.367551127179956,8
white,white,1,2,3,64,9.897032106704312,0.9999999999999999,0.021489599668137453,1,1,9
ride,ride,1,3,1,7,1.2529005423380355,0.10995224229475194,0.003274379643146982,0.10995224229475196,0.10995224229475196,6
defense,defense,1,7,8,10,1.8685714283320656,0.026878347031078314,0.005195667961008798,0.026878347031078335,0.026878347031078335,5
company,company,1,4,4,8,1.2303702380224502,0.027046750600736327,0.0037243882286185272,0.027046750600736386,0.027046750600736386,5
service,service,1,4,4,13,1.8678693979987468,0.06390521156069913,0.004898077882690786,0.06390521156069935,0.06390521156069935,6
child,child,1,7,8,6,0.8981953069332331,0.003618080424817583,0.002888844764091184,0.003618080424817651,0.003618080424817651,5
south,south,1,1,1,47,7.163621359446805,0.7388983991466708,0.015675219276538022,0.7388983991466701,0.7388983991466701,9
uniform,uniform,1,9,7,12,1.6220041203828035,0.0870741061689768,0.004235072941436239,0.08707410616897679,0.08707410616897679,6
low,low,1,4,4,5,0.7688461448862152,0.0819538831722628,0.0022151873075625162,0.0819538831722628,0.0819538831722628,4
equal,equal,1,2,3,26,3.6203851343395788,0.3721442535519631,0.00817420576610888,0.37214425355196307,0.37214425355196307,9
negro,negro,1,2,3,54,8.480702250054014,0.8941754377892085,0.017770057731610382,0.8941754377892086,0.8941754377892086,9
commissioned,commissioned,1,4,4,12,1.6284549766777872,0.042912280536175414,0.004891128369293846,0.04291228053617559,0.04291228053617559,5
life,life,1,7,3,15,2.2419597095059878,0.2715835732425001,0.005007490832717411,0.27158357324250015,0.27158357324250015,9
creed,creed,1,2,3,11,1.6661118804269495,0.13772060980818504,0.003970122143045634,0.13772060980818512,0.13772060980818512,7
wife,wife,1,7,8,9,1.6488158087387121,0.012751906274357712,0.0052164940360670065,0.012751906274357797,0.012751906274357797,5
war,war,1,2,3,35,5.7356097866428915,0.6547622746026831,0.012267135154631455,0.6547622746026831,0.6547622746026831,9
lord,lord,1,2,2,7,1.0085730196879297,0.010187007173434163,0.003142579453334835,0.010187007173434254,0.010187007173434254,4
furlough,furlough,1,1,8,9,1.3390392732602394,0.03349340281923349,0.0035758800546787177,0.03349340281923353,0.03349340281923353,6
military-police,military-police,1,1,1,8,1.1424769626885918,0.08763696112148561,0.003142902829598993,0.0876369611214856,0.0876369611214856,5
camp,camp,1,1,1,31,4.34803838225052,0.27663645406926907,0.01059038570158571,0.2766364540692688,0.2766364540692688,8
sick,sick,1,6,5,6,1.0311634090328705,0.0018755709906948751,0.004107950657434471,0.0018755709906949569,0.0018755709906949569,3
speech,speech,1,2,3,7,1.1758819385064083,0.1263501598606998,0.002762138329072339,0.1263501598606998,0.1263501598606998,7
fall,fall,1,9,2,10,1.6613323353666585,0.04367362366487978,0.004552798986497275,0.043673623664879806,0.043673623664879806,5
worth,worth,1,6,5,1,0.26558682357929864,0.0014041922059693011,0.0014170865938023874,0.0014041922059693077,0.0014041922059693077,1
field,field,1,6,6,6,0.8765074082507104,0.011934550993706062,0.002814450747480088,0.011934550993706139,0.011934550993706139,4
express,express,1,7,7,4,0.6451155340153993,0.02383205929548078,0.002203264586429137,0.023832059295480802,0.023832059295480802,3
discrimination,discrimination,1,2,3,21,2.73847354130734,0.21797582613663044,0.006284049158768162,0.21797582613663052,0.21797582613663052,7
fight,fight,1,2,3,48,7.118754647565924,0.7540403222635454,0.014777913926825767,0.7540403222635457,0.7540403222635457,9
bus,bus,1,3,1,26,4.270935330078365,0.27448145050244604,0.010704622703169426,0.274481450502446,0.274481450502446,8
military,military,1,6,1,5,0.7418039378476415,0.010204922653550172,0.002488363020334635,0.010204922653550228,0.010204922653550228,4
sleep,sleep,1,3,5,4,0.701632614942555,0.0018309286852173816,0.0029612090796357926,0.0018309286852173996,0.0018309286852173996,3
dog,dog,1,1,3,4,0.581490520750694,0.11660420262880862,0.0015875922620299254,0.11660420262880856,0.11660420262880856,4
color,color,1,2,3,29,4.275478371773003,0.5433582486391104,0.009081817665531601,0.5433582486391096,0.5433582486391096,9
transport,transport,1,1,1,11,1.5478233933294425,0.11970080134696957,0.0037902759989955695,0.11970080134696967,0.11970080134696967,7
black-man,black-man,1,1,3,43,6.294311396924108,0.6839794936012966,0.013419995851495978,0.6839794936012966,0.6839794936012966,9
serviceclub,serviceclub,1,3,1,4,0.5908492283616955,0.013157193645925738,0.002140680999916323,0.01315719364592579,0.01315719364592579,3
doctor,doctor,1,6,5,4,0.7843960201758038,5.18639854379056e-4,0.003274900899422287,5.186398543790962e-4,5.186398543790962e-4,3
country,country,1,2,3,36,5.200908869955548,0.5671666661198357,0.010942332473260683,0.5671666661198352,0.5671666661198352,9
teach,teach,1,4,4,4,0.56165744221876035,0.003289779916507538,0.002008379810473283,0.0032897799165075995,0.0032897799165075995,3
democracy,democracy,1,2,3,28,3.72812362355564,0.2713477523064924,0.008857804640450042,0.27134775230649266,0.27134775230649266,9
right,right,1,2,3,14,2.2116813839938803,0.31025085395597085,0.004763152562851024,0.3102508539559704,0.3102508539559704,9
pray,pray,1,2,2,6,1.0300969148636407,0.028656819917900617,0.0031053465935068393,0.028656819917900728,0.028656819917900728,4
town,town,1,1,1,17,2.5494709214807885,0.16789581908376947,0.005973222219870583,0.1678958190837695,0.1678958190837695,7
volunteer,volunteer,1,4,4,5,0.7265962584047554,0.005223205049399825,0.0025230743738527644,0.005223205049399879,0.005223205049399879,4
marry,marry,1,7,8,11,1.6486390151651422,0.010297067445320699,0.005197159092663779,0.010297067445320818,0.010297067445320818,5
hope,hope,1,2,3,12,1.6875897298684344,0.16724533597645275,0.004139542082027132,0.16724533597645264,0.16724533597645264,8
complete,complete,1,9,2,3,0.41717896297189183,0.005002252805099243,0.0016178504968681522,0.005002252805099275,0.005002252805099275,3
sit,sit,1,3,1,8,1.190820545845861,0.09318058982933818,0.003184482570440994,0.09318058982933822,0.09318058982933822,5
plant,plant,1,7,8,8,1.3428998392441571,0.022961755725095814,0.003748996222713308,0.022961755725095897,0.022961755725095897,5
qualify,qualify,1,4,4,7,1.0658709644168975,0.026295217748692593,0.0030835761589971854,0.026295217748692652,0.026295217748692652,5
pass,pass,1,1,1,10,1.4775708756057178,0.04362645539902835,0.003954681155475145,0.04362645539902844,0.04362645539902844,6
air,air,1,4,4,7,1.509180417825647,0.019286633718827016,0.004476075751657908,0.019286633718827058,0.019286633718827058,5
people,people,1,2,3,27,3.9438231591029393,0.5554967417529738,0.00823241470407239,0.5554967417529736,0.5554967417529736,9
money,money,1,7,8,8,1.0368981444374576,0.009659116478798782,0.0032083694213067763,0.009659116478798855,0.009659116478798855,5
treat,treat,1,1,3,22,3.350276067339917,0.4547718813290145,0.007663248566667683,0.45477188132901436,0.45477188132901436,9
cloth,cloth,1,3,5,1,0.19480831244082586,2.7427911782935903e-5,0.0018928832096867336,2.7427911782951228e-5,2.7427911782951228e-5,1
trust,trust,1,2,3,4,0.552651116130543,0.023035110254629308,0.0017657455226043645,0.02303511025462935,0.02303511025462935,4
east,east,1,1,1,7,1.3379106386411854,0.06781722478347829,0.003840992924961811,0.06781722478347825,0.06781722478347825,4
branch,branch,1,4,4,8,1.260762368773032,0.01413722503340932,0.003752398916288017,0.014137225033409407,0.014137225033409407,4
police,police,1,1,1,11,1.695696689119063,0.10005541664612916,0.004445605645564191,0.10005541664612917,0.10005541664612917,6
job,job,1,7,8,9,1.2632140021625773,0.09730387739257279,0.003329992744537185,0.09730387739257285,0.09730387739257285,5
