source,target,weight,group
crow,jim,0.8580831024729044,black
german,japan,0.6991099335491461,black
corp,air,0.6729510795929545,white
corp,air,0.6111986067175911,black
negro,white,0.56877274928805,white
west,east,0.5574118101709014,black
north,south,0.5519739152770401,white
win,war,0.5055605360439209,black
divide,fall,0.49162220744839236,black
force,arm,0.4806474609857348,black
north,south,0.4779323862663222,black
win,war,0.46680261529053924,white
white,negro,0.4563640463381727,black
plant,defense,0.4451089373054691,white
marry,singl,0.4248694781224694,white
white,color,0.42128696346040956,white
ride,bus,0.4158048018465402,black
cook,food,0.41204653169194755,white
branch,service,0.39210877319875637,white
life,civilian,0.3847323274721905,white
defense,plant,0.3825063040422676,black
basic,train,0.37891553326703914,white
white,color,0.3784758610822135,black
company,command,0.36103774446261844,black
singl,child,0.36052837232340124,white
service,branch,0.3522901012359003,black
white,black-man,0.34936342038776386,black
divide,stand,0.3438979764486451,black
child,wife,0.33998657245946623,black
white,people,0.3395563955238588,black
commissioned,office,0.33620334983246963,white
south,black-man,0.3307957818823043,black
uniform,wear,0.33012749263003166,black
marry,family,0.3276294505841778,white
color,race,0.3274815244034193,white
low,morale,0.3266237655747436,black
marry,wife,0.32496220240900764,white
day,pass,0.3218473633577391,white
south,white,0.3191601174382425,black
equal,right,0.318499301960913,black
white,people,0.31562608509740464,white
furlough,month,0.313766888095384,white
negro,fight,0.3131097048485955,black
commissioned,office,0.30721702279259694,black
negro,race,0.3067336457783717,white
life,civilian,0.3042678224925784,black
creed,race,0.3026249044655791,black
wife,marry,0.30133319453241425,black
white,separate,0.29790350144295086,white
south,negro,0.29712674664908223,black
war,negro,0.2944534171536157,black
school,mechanic,0.29433972393404834,white
war,fight,0.28927620840738294,black
pass,week,0.2890370034962585,white
white,fight,0.2882178913747736,black
negro,separate,0.28691129234417184,white
war,fight,0.28678457167321164,white
lord,pray,0.28512445055075414,black
furlough,month,0.2841734243915231,black
military-police,beat,0.2831001697981478,black
close,home,0.28296745634434467,white
camp,town,0.28171921312297393,black
sick,doctor,0.2809207690444175,black
white,race,0.2808174953244588,white
defense,age,0.27701623349889587,black
speech,freedom,0.27495662735884713,black
life,army,0.27467770848286216,white
negro,white-man,0.2742231564872966,white
service,limit,0.27410168281210257,white
defense,limit,0.2728847826357429,white
close,station,0.2719642513968858,white
food,eat,0.27106304270734144,white
fight,freedom,0.2692600149423479,white
fall,stand,0.2687647216544266,black
negro,white-man,0.26827486557972824,black
marry,child,0.2669456489923606,white
educate,opportunity,0.2667924239674647,white
office,enlist,0.26614859935631907,white
worth,damn,0.26558682357929864,black
organ,system,0.2651988689818116,white
field,battle,0.2637959754108493,black
express,opinion,0.2589354371308549,black
spend,time,0.2585771197834562,white
discrimination,democracy,0.2578049606862628,black
