id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
crow,1,8,3,1.1018892682511903,0.008967968932876779,0.0023326725372056407,0.008967968932876774,0.008967968932876774,3,crow
german,1,7,6,1.3192140238709267,0.02414062867656671,0.002823636203078012,0.0241406286765667,0.0241406286765667,4,german
corp,1,1,23,4.067485907510849,0.06946501530190102,0.00619925153553622,0.0694650153019013,0.0694650153019013,10,corp
negro,1,2,70,11.772011827585311,0.9353791319699082,0.01591392996389017,0.9353791319699082,0.9353791319699082,13,negro
west,1,3,5,1.1385842887813575,0.0401731835291169,0.002173491156953687,0.04017318352911691,0.04017318352911691,5,west
north,1,2,26,4.367534444350572,0.3531667684461478,0.006176492171764411,0.35316676844614736,0.35316676844614736,12,north
win,1,2,18,3.031037914284088,0.301611773515782,0.004596108800532236,0.301611773515782,0.301611773515782,11,win
divide,1,7,6,1.420230993178787,0.006371596531453997,0.0032225413035894775,0.006371596531454002,0.006371596531454002,4,divide
force,1,1,17,2.4982159850280414,0.09553166097124868,0.004047345044936684,0.09553166097124874,0.09553166097124874,10,force
white,1,2,76,12.946503230308535,1,0.018163157370129874,1,1,13,white
plant,1,1,14,2.355672336169837,0.06076940115207604,0.0035780692003994927,0.060769401152076026,0.060769401152076026,10,plant
marry,1,5,19,3.616102516378996,0.052643688702749596,0.005899105315354513,0.05264368870274967,0.05264368870274967,10,marry
ride,1,4,7,1.2529005423380355,0.058891301487107875,0.002301842756842954,0.05889130148710783,0.05889130148710783,6,ride
cook,1,4,5,1.007347674977558,0.005226594753679641,0.0019733229988412675,0.005226594753679664,0.005226594753679664,5,cook
branch,1,1,19,3.221164946664327,0.05058620840511252,0.0050376783575296884,0.0505862084051127,0.0505862084051127,10,branch
life,1,1,30,4.489751151073815,0.3111401081343843,0.006108611590470528,0.31114010813438436,0.31114010813438436,13,life
defense,1,1,18,3.358036413324171,0.07267273573428774,0.005087681529680114,0.0726727357342879,0.0726727357342879,10,defense
basic,1,6,11,1.7668142617650717,0.038675197997000234,0.002867962982082727,0.038675197997000275,0.038675197997000275,8,basic
company,1,3,16,2.2275688826348548,0.03597936779416893,0.00364679668879455,0.03597936779416894,0.03597936779416894,10,company
singl,1,5,7,1.4166712162395374,0.015733466591048555,0.0024598323834021567,0.015733466591048573,0.015733466591048573,6,singl
service,1,1,37,5.3366485570855255,0.13590348620526685,0.007640954520882128,0.13590348620526715,0.13590348620526715,11,service
child,1,5,14,2.3887080287574367,0.033710223772928594,0.003867553004594064,0.033710223772928594,0.033710223772928594,10,child
commissioned,1,3,23,3.4303950437552313,0.07121990799230186,0.005309573192799949,0.07121990799230196,0.07121990799230196,10,commissioned
south,1,2,55,8.882312278746369,0.6673824102840639,0.01220300879006739,0.6673824102840638,0.6673824102840638,13,south
uniform,1,7,12,1.6220041203828035,0.04274407193251362,0.0032594223984665424,0.04274407193251361,0.04274407193251361,7,uniform
color,1,2,39,6.328541269098125,0.6188063299982199,0.008663194583003363,0.6188063299982197,0.6188063299982197,13,color
low,1,3,5,0.7688461448862152,0.04785658937976054,0.0015802687060888934,0.047856589379760575,0.047856589379760575,5,low
day,1,6,27,3.823843849091793,0.09015152517551764,0.005754844356151294,0.09015152517551757,0.09015152517551757,11,day
equal,1,2,36,5.251670465845929,0.4223615001512266,0.0077323347064919955,0.42236150015122664,0.42236150015122664,13,equal
