source,target,weight
corp,air,0.6729510795929545
negro,white,0.56877274928805
north,south,0.5519739152770401
win,war,0.46680261529053924
plant,defense,0.4451089373054691
marry,singl,0.4248694781224694
white,color,0.42128696346040956
cook,food,0.41204653169194755
branch,service,0.39210877319875637
life,civilian,0.3847323274721905
basic,train,0.37891553326703914
singl,child,0.36052837232340124
commissioned,office,0.33620334983246963
marry,family,0.3276294505841778
color,race,0.3274815244034193
marry,wife,0.32496220240900764
day,pass,0.3218473633577391
white,people,0.31562608509740464
furlough,month,0.313766888095384
negro,race,0.3067336457783717
white,separate,0.29790350144295086
school,mechanic,0.29433972393404834
pass,week,0.2890370034962585
negro,separate,0.28691129234417184
war,fight,0.28678457167321164
close,home,0.28296745634434467
white,race,0.2808174953244588
life,army,0.27467770848286216
negro,white-man,0.2742231564872966
service,limit,0.27410168281210257
defense,limit,0.2728847826357429
close,station,0.2719642513968858
food,eat,0.27106304270734144
fight,freedom,0.2692600149423479
marry,child,0.2669456489923606
educate,opportunity,0.2667924239674647
office,enlist,0.26614859935631907
organ,system,0.2651988689818116
spend,time,0.2585771197834562
money,wast,0.253187377035578
white-man,privilege,0.2521881551601794
cook,eat,0.24943415966755225
spend,money,0.24571628403816592
wait,line,0.24495418444700975
negro,south,0.24288007290903246
guard,nation,0.2379206269993908
race,equal,0.23057543245668974
month,rate,0.22970029212445314
corp,transfer,0.22756973541859377
time,wast,0.2268829625723612
army,time,0.22474005531621352
army,job,0.22236300914836754
air,force,0.22082179270488766
basic,week,0.2206132751066925
white,south,0.21791224833513034
color,people,0.21694853437937722
race,white-man,0.21366460669739307
organ,qualify,0.21052042884371705
child,wife,0.20711573626078378
furlough,home,0.20603677536587842
commissioned,private,0.20501691604157643
basic,complete,0.20498795337837888
white,equal,0.20412811079913318
white,class,0.20412811079913318
branch,fit,0.20359453584031656
school,qualify,0.20234382909750984
fight,lose,0.20230892925734778
office,command,0.2022958307225991
negro,people,0.2015531558541861
corp,branch,0.20151041327390357
air,branch,0.20151041327390357
nation,complete,0.19978604640079153
nation,peace,0.19978604640079153
civilian,line,0.19842154094591657
sleep,night,0.19830869015613398
marry,draft,0.1977360138312125
week,station,0.1961900499539256
civilian,army,0.19613166202028173
family,wife,0.19548301115208958
pass,furlough,0.19444229502241295
rate,sgt,0.19399533507442537
fight,country,0.19399503284691183
day,inspect,0.19357179677682745
pass,time,0.1933380954138544
civilian,trade,0.19209171714098533
home,station,0.1919930567742997
war,effort,0.1908296810630504
promotion,ability,0.19075129971851792
school,rate,0.18976463317624753
school,experi,0.18842085670795283
pass,inspect,0.18840895121502663
branch,transfer,0.18806354776047543
trade,learn,0.18784503536354125
physical,combat,0.18755580509321843
train,time,0.1874400471423088
pass,camp,0.18554901402621707
army,soldier,0.18502651279006976
war,country,0.1845685458420299
home,soldier,0.18376979795331685
money,pay,0.1835577695978809
train,week,0.18354278220428627
promotion,chance,0.18348273341616936
equal,class,0.18291391289611936
military-police,trouble,0.18291391289611936
furlough,week,0.18220134604077243
war,govern,0.1817377739303979
close,send,0.1808826808063355
white,fight,0.18071980076983507
week,time,0.18041682672431417
fight,realize,0.1799919006956811
experi,world,0.17928969444034593
singl,draft,0.17779523432494215
opinion,idea,0.17752777014898455
negro,equal,0.17688865401126874
promotion,person,0.17687441523591285
service,bus,0.17582011499684932
day,close,0.17568926217194156
color,treat,0.17520200808087477
war,hope,0.1751316741298169
marry,home,0.1748636491377333
office,army,0.17463423381143506
home,army,0.17384319083798225
school,field,0.17345942172305165
rate,private,0.17298669611704715
lose,combat,0.17189036570597094
negro,privilege,0.17187438806671046
job,handl,0.1710290362174402
south,separate,0.17061019299615773
outfit,cloth,0.17034852760595295
commissioned,command,0.17009404880751644
color,equal,0.1699654185298629
color,class,0.1699654185298629
commissioned,pick,0.16975851338630088
qualify,experi,0.16891765387256014
physical,condition,0.16859328138877747
day,time,0.16823119369296138
day,week,0.16816420170494384
home,time,0.16794999316273637
negro,fight,0.16728785664999818
month,combat,0.16690988508353635
military-police,town,0.16671687523730117
job,chance,0.16634696960944326
war,army,0.16631704780363193
office,school,0.16608532668120646
race,separate,0.16521412688652937
corp,satisfy,0.1647036085164412
guard,outfit,0.1643215564992479
chance,fair,0.16340031368425983
army,satisfy,0.16286258261641384
negro,color,0.16274203818973076
wife,home,0.16228725363994573
job,hold,0.16216746980120014
command,company,0.16181114784068446
job,fit,0.16163174143255568
war,people,0.16133917284147065
limit,job,0.16129212562917586
defense,yr,0.16109927471647983
people,live,0.1609821093160288
child,draft,0.16065814481180107
guard,draft,0.16065814481180107
civilian,country,0.16043392618711635
mechanic,experi,0.1599387348554641
basic,furlough,0.15987432649298783
office,run,0.1591911828694829
week,close,0.15912538332873247
service,job,0.15907695589805393
air,transfer,0.15879108344859189
people,fight,0.15867511500899434
people,equal,0.1585937844612921
south,people,0.15853943481713478
commissioned,rate,0.15851267817859077
transfer,job,0.15828069683067325
time,job,0.15817583536593355
office,treat,0.15754402511056517
condition,live,0.1573937098972733
commissioned,ability,0.15730907993050464
realize,yr,0.15686390124304347
yr,age,0.15686390124304347
army,ability,0.15656819067347774
month,school,0.15616795946082346
country,serve,0.15564157493115294
army,outfit,0.15553276323459264
wait,ship,0.15533755661619209
pick,infantry,0.15533755661619209
train,physical,0.15531843696656011
office,field,0.15518464298485993
combat,duty,0.15488038939753304
office,noncom,0.15463330474657894
negro,north,0.1546120200559651
camp,soldier,0.15448838350898023
condition,unit,0.15446258813320693
enlist,job,0.15342781001210828
south,treat,0.15331103566770013
train,lose,0.15294070070804694
war,peace,0.15277778060619002
day,tell,0.15261721122933997
camp,bus,0.1522220739514011
educate,experi,0.15205842225540928
corp,service,0.15204196464647918
combat,unit,0.1520239756700156
job,feel,0.1519365873849341
realize,hard,0.15174220446684267
family,govern,0.1513715858092549
civilian,soldier,0.15117925210599706
child,family,0.1510163413974582
night,sgt,0.1510163413974582
pass,home,0.15081698108347294
bus,town,0.15073061793653098
train,soldier,0.150101476216044
day,furlough,0.14990353631519893
life,give,0.14960346414223988
food,cloth,0.1485594004365671
civilian,pay,0.14835921455848305
civilian,give,0.14835921455848305
army,stay,0.1482704020429655
furlough,morale,0.14821582355798105
money,send,0.14810231939562918
field,outfit,0.1477074381230015
ability,polit,0.14768567033288263
color,separate,0.14757440714800996
freedom,duty,0.14751872481819783
soldier,town,0.14743891710476278
home,camp,0.14725203740346657
air,enter,0.14721471438531603
guard,military-police,0.14699806734124987
rate,promotion,0.1468670505645811
branch,wrong,0.14648453087964114
soldier,morale,0.14635597246743856
bus,bad,0.14627295479464206
defense,home,0.14625716360576724
family,home,0.14625716360576724
wast,qualify,0.1460841613650848
people,pay,0.14601142834035227
eat,poor,0.1460033694892227
branch,infantry,0.14587665483717333
camp,town,0.14554620916682687
train,army,0.1455359636917924
negro,live,0.145520153252751
ability,outfit,0.1454478292517557
life,live,0.1448538873921246
color,fight,0.14480027315893013
nation,unit,0.14451340806295654
army,lot,0.14447898943565807
sgt,fair,0.14437221621435836
outfit,duty,0.14425299715262138
time,inspect,0.14422509069579703
month,army,0.14410718044199655
educate,person,0.14406086587401212
office,experi,0.14329523350936885
