id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
corp,corp,1,4,1,14,2.5110830204544645,0.5063580626632943,0.00971281115119694,0.5063580626632942,0.5063580626632942,7
negro,negro,1,1,6,16,3.2913095775312984,0.3853865743925947,0.012263574856971578,0.38538657439259466,0.38538657439259466,7
north,north,1,1,6,6,1.144307919239809,0.12488845235717569,0.004879499620750614,0.1248884523571757,0.1248884523571757,6
win,win,1,5,2,7,1.1655530490678552,0.21336724591956896,0.005305068201375587,0.21336724591956943,0.21336724591956943,5
plant,plant,1,5,2,6,1.0127724969256797,0.13205568188289438,0.00476775881004057,0.13205568188289463,0.13205568188289463,5
marry,marry,1,2,4,8,1.9674635012138542,0.2098701079988331,0.008123452208185151,0.20987010799883338,0.20987010799883338,6
white,white,1,1,6,12,3.0494711236042256,0.39855899703285314,0.011183291749416714,0.3985589970328532,0.3985589970328532,7
cook,cook,1,3,3,5,1.007347674977558,0.047359146415017324,0.005088236059666065,0.04735914641501732,0.04735914641501732,4
branch,branch,1,4,1,11,1.9604025778912948,0.37047902921754433,0.007999719799833757,0.3704790292175447,0.3704790292175447,7
life,life,1,4,1,15,2.2477914415678266,0.44446943970298936,0.009182264994614686,0.4444694397029892,0.4444694397029892,7
basic,basic,1,7,4,11,1.7668142617650717,0.21571182904889494,0.007895223860582374,0.21571182904889535,0.21571182904889535,6
singl,singl,1,2,4,7,1.4166712162395376,0.10399033056549668,0.006181284750549187,0.10399033056549656,0.10399033056549656,6
commissioned,commissioned,1,3,3,11,1.8019400670774437,0.20660918733449768,0.008025268469671134,0.20660918733449776,0.20660918733449776,6
color,color,1,1,6,10,2.053062897325121,0.2917294798063688,0.0077205091835846175,0.29172947980636876,0.29172947980636876,7
day,day,1,7,4,13,2.0305813127430477,0.25183589512035076,0.00887593753424709,0.25183589512035065,0.25183589512035065,7
furlough,furlough,1,7,4,12,1.9636194094785009,0.29998093564500655,0.008142243628722977,0.2999809356450064,0.2999809356450064,7
school,school,1,6,5,14,2.21663101169637,0.35883470139801005,0.009070719150398993,0.35883470139801055,0.35883470139801055,7
pass,pass,1,7,4,15,2.48523667816226,0.30622710755048016,0.010739886890434711,0.30622710755048016,0.30622710755048016,7
war,war,1,5,2,28,4.316073859967624,0.6277882286428158,0.01755596297987009,0.6277882286428165,0.6277882286428165,7
